azimuth,cluster_id,elevation,frame_count,frames_seen,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size,two_range_fraction
-0.5483,0,0.0635,9,"[0, 1, 2, 3, 5, 6, 7, 8, 9]","{0: 4, 1: 2, 2: 1, 3: 2, 5: 4, 6: 5, 7: 4, 8: 2, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [2], 2: [1], 3: [2], 5: [4], 6: [5], 7: [4], 8: [2], 9: [3]}",100.005,100.005,"{0: [100.00468444824219], 1: [100.00489807128906], 2: [100.00444793701172], 3: [100.00485229492188], 5: [100.00485229492188], 6: [100.00480651855469], 7: [100.00485229492188], 8: [100.00485229492188], 9: [100.00480651855469]}",,27,0.0
-0.4749,1,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 4, 1: 6, 2: 3, 3: 3, 4: 5, 5: 4, 6: 4, 7: 4, 8: 7, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [4], 1: [6], 2: [3], 3: [3], 4: [5], 5: [4], 6: [4], 7: [4], 8: [7], 9: [3]}",100.004,100.004,"{0: [100.00323486328125], 1: [100.00372314453125], 2: [100.00379943847656], 3: [100.00360107421875], 4: [100.00387573242188], 5: [100.00384521484375], 6: [100.0037612915039], 7: [100.00392150878906], 8: [100.00372314453125], 9: [100.00387573242188]}",,43,0.0
-0.3868,2,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 8, 2: 8, 3: 4, 4: 3, 5: 3, 6: 2, 7: 5, 8: 6, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [8], 2: [8], 3: [4], 4: [3], 5: [3], 6: [2], 7: [5], 8: [6], 9: [5]}",100.002,100.002,"{0: [100.002197265625], 1: [100.00264739990234], 2: [100.00264739990234], 3: [100.00267791748047], 4: [100.00244140625], 5: [100.00250244140625], 6: [100.0028305053711], 7: [100.00267791748047], 8: [100.00264739990234], 9: [100.00254821777344]}",,47,0.0
-0.2962,3,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 7, 2: 5, 3: 6, 4: 3, 5: 4, 6: 4, 7: 4, 8: 5, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [7], 2: [5], 3: [6], 4: [3], 5: [4], 6: [4], 7: [4], 8: [5], 9: [3]}",100.001,100.001,"{0: [100.0012435913086], 1: [100.00162506103516], 2: [100.00166320800781], 3: [100.00162506103516], 4: [100.00169372558594], 5: [100.00164794921875], 6: [100.00148010253906], 7: [100.0015640258789], 8: [100.00154113769531], 9: [100.00152587890625]}",,46,0.0
-0.1992,4,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 13, 1: 11, 2: 8, 3: 6, 4: 11, 5: 6, 6: 7, 7: 2, 8: 6, 9: 4}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [13], 1: [11], 2: [8], 3: [6], 4: [11], 5: [6], 6: [7], 7: [2], 8: [6], 9: [4]}",100.161,100.161,"{0: [100.01461791992188], 1: [100.06238555908203], 2: [100.0623779296875], 3: [100.01481628417969], 4: [100.01481628417969], 5: [100.01493835449219], 6: [100.06243896484375], 7: [100.00079345703125], 8: [100.01493835449219], 9: [100.0623779296875]}",,74,0.0
-0.1287,5,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 12, 1: 9, 2: 12, 3: 15, 4: 12, 5: 18, 6: 24, 7: 15, 8: 15, 9: 15}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [12], 1: [9], 2: [12], 3: [15], 4: [12], 5: [18], 6: [24], 7: [15], 8: [15], 9: [15]}",100.248,100.248,"{0: [100.06196594238281], 1: [100.06207275390625], 2: [100.06204223632812], 3: [100.06204986572266], 4: [100.06201934814453], 5: [100.06204986572266], 6: [100.06201934814453], 7: [100.0621109008789], 8: [100.06208801269531], 9: [100.06201171875]}",,147,0.0
-0.0385,6,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 17, 1: 12, 2: 9, 3: 7, 4: 14, 5: 9, 6: 7, 7: 14, 8: 20, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [12], 2: [9], 3: [7], 4: [14], 5: [9], 6: [7], 7: [14], 8: [20], 9: [19]}",100.27,100.27,"{0: [100.0604019165039], 1: [100.06190490722656], 2: [100.0618896484375], 3: [100.0618896484375], 4: [100.0604019165039], 5: [100.0618896484375], 6: [100.0618896484375], 7: [100.0604019165039], 8: [100.0604019165039], 9: [100.0604019165039]}",,128,0.0
0.0606,7,0.0635,9,"[0, 1, 2, 3, 4, 5, 7, 8, 9]","{0: 5, 1: 4, 2: 5, 3: 4, 4: 4, 5: 6, 7: 2, 8: 5, 9: 6}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [4], 2: [5], 3: [4], 4: [4], 5: [6], 7: [2], 8: [5], 9: [6]}",100.966,100.966,"{0: [100.96572875976562], 1: [100.96559143066406], 2: [100.96560668945312], 3: [100.96560668945312], 4: [100.96556091308594], 5: [100.96560668945312], 7: [100.96554565429688], 8: [100.96560668945312], 9: [100.96560668945312]}",,41,0.0
0.1448,8,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 5, 1: 5, 2: 4, 3: 3, 4: 4, 5: 4, 6: 3, 7: 3, 8: 4, 9: 3}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [5], 1: [5], 2: [4], 3: [3], 4: [4], 5: [4], 6: [3], 7: [3], 8: [4], 9: [3]}",100.966,100.966,"{0: [100.96615600585938], 1: [100.96587371826172], 2: [100.96591186523438], 3: [100.96591186523438], 4: [100.96587371826172], 5: [100.96588134765625], 6: [100.96591186523438], 7: [100.96590423583984], 8: [100.96583557128906], 9: [100.9658432006836]}",,38,0.0
0.2247,9,0.0635,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","{0: 3, 1: 7, 2: 5, 3: 4, 4: 4, 5: 2, 6: 3, 7: 5, 8: 4, 9: 5}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [3], 1: [7], 2: [5], 3: [4], 4: [4], 5: [2], 6: [3], 7: [5], 8: [4], 9: [5]}",100.966,100.966,"{0: [100.96671295166016], 1: [100.96644592285156], 2: [100.96644592285156], 3: [100.96638488769531], 4: [100.9663314819336], 5: [100.96629333496094], 6: [100.96631622314453], 7: [100.96644592285156], 8: [100.96626281738281], 9: [100.9663314819336]}",,42,0.0
