cell_id,frame_id,num_groups,peaks,counts,n_points
226,1,1,10.030957,1,1
226,5,1,10.030957,1,1
226,6,1,10.030957,1,1
226,7,1,10.030957,1,1
226,8,1,10.030957,1,1
226,9,1,10.030957,1,1
227,0,1,10.030653,4,4
227,1,1,10.030681,4,4
227,2,1,10.030653,5,5
227,3,1,10.030487,5,5
227,4,1,10.030736,5,5
227,5,1,10.030460,4,4
227,6,1,10.030625,7,7
227,7,1,10.030653,6,6
227,8,1,10.030653,5,5
227,9,1,10.030570,3,3
228,0,1,10.029452,5,5
228,1,1,10.029612,6,6
228,2,1,10.029612,6,6
228,3,1,10.029800,3,3
228,4,1,10.029612,7,7
228,5,1,10.029559,5,5
228,6,1,10.029344,3,3
228,7,1,10.029639,5,5
228,8,1,10.029639,6,6
228,9,1,10.029559,5,5
229,0,1,10.028577,6,6
229,1,1,10.028577,5,5
229,2,1,10.028499,4,4
229,3,1,10.028603,4,4
229,4,1,10.028577,8,8
229,5,1,10.028577,5,5
229,6,1,10.028447,3,3
229,7,1,10.028057,1,1
229,8,1,10.028603,4,4
229,9,1,10.028499,6,6
230,0,1,10.027472,6,6
230,1,1,10.027674,3,3
230,2,1,10.027674,6,6
230,3,1,10.027623,4,4
230,4,1,10.027497,6,6
230,5,1,10.027623,5,5
230,6,1,10.027623,6,6
230,7,1,10.027623,6,6
230,8,1,10.027623,5,5
230,9,1,10.027674,6,6
231,0,1,10.026651,6,6
231,1,1,10.026456,1,1
231,2,1,10.026651,4,4
231,3,1,10.026651,5,5
231,4,1,10.026699,6,6
231,5,1,10.026577,5,5
231,6,1,10.026651,5,5
231,7,1,10.026431,4,4
231,8,1,10.026651,5,5
231,9,1,10.026626,5,5
232,0,1,10.025757,8,8
232,1,1,10.025687,3,3
232,2,1,10.025687,6,6
232,3,1,10.025757,7,7
232,4,1,10.025828,5,5
232,5,1,10.025687,6,6
232,6,1,10.025804,7,7
232,7,1,10.025687,9,9
232,8,1,10.025545,3,3
232,9,1,10.025875,4,4
