cluster_id,azimuth,elevation,range,frames_seen,frame_count,two_range_fraction,num_points_per_frame,num_range_groups_per_frame,peak_counts_per_frame,range_mean,range_peaks_per_frame,revisit_rate_hz,sample_size
0,-1.0237,0.4286,50.009,10,10,0.0,"{0: 21, 1: 11, 2: 12, 3: 11, 4: 11, 5: 8, 6: 7, 7: 11, 8: 7, 9: 10}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [21], 1: [11], 2: [12], 3: [11], 4: [11], 5: [8], 6: [7], 7: [11], 8: [7], 9: [10]}",50.009,"{0: [50.00999069213867], 1: [50.01028823852539], 2: [50.01038360595703], 3: [50.01051712036133], 4: [50.01051712036133], 5: [50.009849548339844], 6: [50.01028823852539], 7: [50.01051712036133], 8: [50.010459899902344], 9: [50.010555267333984]}",,109
1,-0.7539,0.4286,50.006,10,10,0.0,"{0: 22, 1: 21, 2: 23, 3: 21, 4: 18, 5: 22, 6: 22, 7: 20, 8: 18, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [21], 2: [23], 3: [21], 4: [18], 5: [22], 6: [22], 7: [20], 8: [18], 9: [22]}",50.006,"{0: [50.0051383972168], 1: [50.007232666015625], 2: [50.007179260253906], 3: [50.007205963134766], 4: [50.0069580078125], 5: [50.007179260253906], 6: [50.0070915222168], 7: [50.007179260253906], 8: [50.007232666015625], 9: [50.007179260253906]}",,209
2,-0.3919,0.4286,50.003,10,10,0.0,"{0: 18, 1: 21, 2: 20, 3: 20, 4: 10, 5: 16, 6: 16, 7: 16, 8: 23, 9: 16}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [18], 1: [21], 2: [20], 3: [20], 4: [10], 5: [16], 6: [16], 7: [16], 8: [23], 9: [16]}",50.003,"{0: [50.00237274169922], 1: [50.00342559814453], 2: [50.003440856933594], 3: [50.00328826904297], 4: [50.00336456298828], 5: [50.003089904785156], 6: [50.003456115722656], 7: [50.00328826904297], 8: [50.00342559814453], 9: [50.00343322753906]}",,176
3,-0.1107,0.4286,50.002,10,10,0.0,"{0: 6, 1: 12, 2: 10, 3: 11, 4: 14, 5: 12, 6: 13, 7: 8, 8: 16, 9: 13}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [6], 1: [12], 2: [10], 3: [11], 4: [14], 5: [12], 6: [13], 7: [8], 8: [16], 9: [13]}",50.002,"{0: [50.00141525268555], 1: [50.001705169677734], 2: [50.001678466796875], 3: [50.0015869140625], 4: [50.001678466796875], 5: [50.001651763916016], 6: [50.001678466796875], 7: [50.001705169677734], 8: [50.001705169677734], 9: [50.001678466796875]}",,115
4,-1.0303,0.0635,50.008,10,10,0.0,"{0: 19, 1: 9, 2: 7, 3: 11, 4: 9, 5: 12, 6: 11, 7: 10, 8: 10, 9: 14}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [9], 2: [7], 3: [11], 4: [9], 5: [12], 6: [11], 7: [10], 8: [10], 9: [14]}",50.008,"{0: [50.00862503051758], 1: [50.009151458740234], 2: [50.008827209472656], 3: [50.009056091308594], 4: [50.008880615234375], 5: [50.009151458740234], 6: [50.00901794433594], 7: [50.00923156738281], 8: [50.00909423828125], 9: [50.00918960571289]}",,112
5,-0.7536,0.0635,50.004,10,10,0.0,"{0: 16, 1: 13, 2: 12, 3: 21, 4: 16, 5: 19, 6: 18, 7: 19, 8: 21, 9: 19}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [16], 1: [13], 2: [12], 3: [21], 4: [16], 5: [19], 6: [18], 7: [19], 8: [21], 9: [19]}",50.004,"{0: [50.003868103027344], 1: [50.00593566894531], 2: [50.005096435546875], 3: [50.005836486816406], 4: [50.005638122558594], 5: [50.005836486816406], 6: [50.005836486816406], 7: [50.005615234375], 8: [50.005859375], 9: [50.005836486816406]}",,174
6,-0.393,0.0635,50.001,10,10,0.0,"{0: 19, 1: 16, 2: 19, 3: 13, 4: 24, 5: 19, 6: 22, 7: 18, 8: 20, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [19], 1: [16], 2: [19], 3: [13], 4: [24], 5: [19], 6: [22], 7: [18], 8: [20], 9: [20]}",50.001,"{0: [50.00105285644531], 1: [50.001976013183594], 2: [50.002113342285156], 3: [50.002044677734375], 4: [50.002044677734375], 5: [50.0020751953125], 6: [50.002044677734375], 7: [50.001976013183594], 8: [50.002113342285156], 9: [50.002113342285156]}",,190
7,-0.0542,0.0635,50.199,10,10,0.0,"{0: 46, 1: 49, 2: 36, 3: 44, 4: 45, 5: 39, 6: 47, 7: 51, 8: 33, 9: 33}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [46], 1: [49], 2: [36], 3: [44], 4: [45], 5: [39], 6: [47], 7: [51], 8: [33], 9: [33]}",50.199,"{0: [50.32219696044922], 1: [50.32179641723633], 2: [50.321815490722656], 3: [50.32179641723633], 4: [50.32178497314453], 5: [50.321815490722656], 6: [50.32179641723633], 7: [50.321815490722656], 8: [50.32176208496094], 9: [50.321800231933594]}",,423
8,0.3859,0.0635,50.461,10,10,0.0,"{0: 17, 1: 17, 2: 22, 3: 25, 4: 22, 5: 22, 6: 18, 7: 25, 8: 19, 9: 22}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [17], 1: [17], 2: [22], 3: [25], 4: [22], 5: [22], 6: [18], 7: [25], 8: [19], 9: [22]}",50.461,"{0: [50.46282196044922], 1: [50.461368560791016], 2: [50.461368560791016], 3: [50.46129608154297], 4: [50.46136474609375], 5: [50.46136474609375], 6: [50.46124267578125], 7: [50.46122741699219], 8: [50.461036682128906], 9: [50.461368560791016]}",,209
9,0.7436,0.0635,50.464,10,10,0.0,"{0: 9, 1: 18, 2: 20, 3: 20, 4: 20, 5: 17, 6: 20, 7: 16, 8: 18, 9: 21}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [9], 1: [18], 2: [20], 3: [20], 4: [20], 5: [17], 6: [20], 7: [16], 8: [18], 9: [21]}",50.464,"{0: [50.46484375], 1: [50.4650993347168], 2: [50.46485137939453], 3: [50.46495819091797], 4: [50.46489715576172], 5: [50.4650993347168], 6: [50.46507263183594], 7: [50.4650993347168], 8: [50.46452713012695], 9: [50.46512222290039]}",,179
10,-0.9946,-0.3016,50.008,10,10,0.0,"{0: 20, 1: 12, 2: 12, 3: 9, 4: 15, 5: 14, 6: 10, 7: 10, 8: 12, 9: 15}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [20], 1: [12], 2: [12], 3: [9], 4: [15], 5: [14], 6: [10], 7: [10], 8: [12], 9: [15]}",50.008,"{0: [50.0084342956543], 1: [50.00939178466797], 2: [50.00952911376953], 3: [50.00969696044922], 4: [50.00966262817383], 5: [50.00925827026367], 6: [50.00946807861328], 7: [50.00966262817383], 8: [50.00969696044922], 9: [50.00952911376953]}",,129
11,-0.7086,-0.3016,50.005,10,10,0.0,"{0: 22, 1: 18, 2: 15, 3: 20, 4: 18, 5: 23, 6: 18, 7: 13, 8: 19, 9: 20}","{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1}","{0: [22], 1: [18], 2: [15], 3: [20], 4: [18], 5: [23], 6: [18], 7: [13], 8: [19], 9: [20]}",50.005,"{0: [50.003990173339844], 1: [50.00603103637695], 2: [50.00592041015625], 3: [50.0059814453125], 4: [50.00593948364258], 5: [50.00593948364258], 6: [50.00568389892578], 7: [50.00585174560547], 8: [50.005828857421875], 9: [50.00593948364258]}",,186
